tag_Jichao,locus_tag,old_locus_tag,gene,product,
ECD_RS00005,ECD_RS00005,ECD_00001,thrL,thr operon leader peptide,
ECD_RS00010,ECD_RS00010,ECD_00002,thrA,bifunctional aspartate kinase/homoserine dehydrogenase I,
ECD_RS00015,ECD_RS00015,ECD_00003,thrB,homoserine kinase,
ECD_RS00020,ECD_RS00020,ECD_00004,thrC,threonine synthase,
ECD_RS00030,ECD_RS00030,ECD_00005,NULL,DUF2502 domain-containing protein,
ECD_RS00035,ECD_RS00035,ECD_00006,yaaA,peroxide stress protein YaaA,
ECD_RS00040,ECD_RS00040,ECD_00007,NULL,sodium:alanine symporter family protein,
ECD_RS00045,ECD_RS00045,ECD_00008,tal,transaldolase,
ECD_RS00050,ECD_RS00050,ECD_00009,NULL,molybdopterin adenylyltransferase,
ECD_RS00055,ECD_RS00055,ECD_00010,satP,acetate uptake transporter,
ECD_RS00060,ECD_RS00060,ECD_00011,msyB,acidic protein MsyB,
ECD_RS00065,ECD_RS00065,ECD_00013,NULL,DUF2541 family protein,
ECD_RS00070,ECD_RS00070,ECD_00014,dnaK,molecular chaperone DnaK,
ECD_RS00075,ECD_RS00075,ECD_00015,dnaJ,molecular chaperone DnaJ,
ECD_RS00080,ECD_RS00080,ECD_00016,NULL,IS4-like element IS421 family transposase,
ECD_RS00085,ECD_RS00085,NULL,mokC,type I toxin-antitoxin system toxin MokC,
ECD_RS00090,ECD_RS00090,ECD_00018,nhaA,Na+/H+ antiporter NhaA,
ECD_RS00095,ECD_RS00095,ECD_00019,nhaR,transcriptional activator NhaR,
ECD_RS00100,ECD_RS00100,ECD_00020,NULL,hypothetical protein,
ECD_RS00105,ECD_RS00105,ECD_00021,NULL,fimbria/pilus outer membrane usher protein,
ECD_RS00110,ECD_RS00110,NULL,espX1,type III secretion system effector EspX1,
ECD_RS00120,ECD_RS00120,ECD_00024,NULL,IS1 family transposase,
ECD_RS00125,ECD_RS00125,ECD_00025,NULL,pentapeptide repeat-containing protein,
ECD_RS00130,ECD_RS00130,ECD_00027,rpsT,30S ribosomal protein S20,
ECD_RS00135,ECD_RS00135,ECD_00028,NULL,DUF2575 domain-containing protein,
ECD_RS00140,ECD_RS00140,ECD_00029,ribF,bifunctional riboflavin kinase/FAD synthetase,
ECD_RS00145,ECD_RS00145,ECD_00030,ileS,isoleucine--tRNA ligase,
ECD_RS00150,ECD_RS00150,ECD_00031,NULL,lipoprotein signal peptidase,
ECD_RS00155,ECD_RS00155,ECD_00032,fkpB,FKBP-type peptidyl-prolyl cis-trans isomerase,
ECD_RS00160,ECD_RS00160,ECD_00033,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,
ECD_RS00165,ECD_RS00165,ECD_00034,rihC,ribonucleoside hydrolase RihC,
ECD_RS00170,ECD_RS00170,ECD_00035,dapB,4-hydroxy-tetrahydrodipicolinate reductase,
ECD_RS00185,ECD_RS00185,ECD_00036,NULL,carbamoyl-phosphate synthase small subunit,
