tag_Jichao,locus_tag,old_locus_tag,gene,product,
BW25113_RS00005,BW25113_RS00005,BW25113_0001,thrL,thr operon leader peptide,
BW25113_RS00010,BW25113_RS00010,BW25113_0002,thrA,bifunctional aspartate kinase/homoserine dehydrogenase I,
BW25113_RS00015,BW25113_RS00015,BW25113_0003,thrB,homoserine kinase,
BW25113_RS00020,BW25113_RS00020,BW25113_0004,thrC,threonine synthase,
BW25113_RS00030,BW25113_RS00030,BW25113_0005,NULL,DUF2502 domain-containing protein,
BW25113_RS00035,BW25113_RS00035,BW25113_0006,yaaA,peroxide stress protein YaaA,
BW25113_RS00040,BW25113_RS00040,BW25113_0007,NULL,sodium:alanine symporter family protein,
BW25113_RS00045,BW25113_RS00045,BW25113_0008,tal,transaldolase,
BW25113_RS00050,BW25113_RS00050,BW25113_0009,NULL,molybdopterin adenylyltransferase,
BW25113_RS00055,BW25113_RS00055,BW25113_0010,satP,acetate uptake transporter,
BW25113_RS00060,BW25113_RS00060,BW25113_0011,msyB,acidic protein MsyB,
BW25113_RS00065,BW25113_RS00065,BW25113_0013,NULL,DUF2541 family protein,
BW25113_RS00070,BW25113_RS00070,BW25113_0014,dnaK,molecular chaperone DnaK,
BW25113_RS00075,BW25113_RS00075,BW25113_0015,dnaJ,molecular chaperone DnaJ,
BW25113_RS00080,BW25113_RS00080,BW25113_0016,NULL,IS4-like element IS421 family transposase,
BW25113_RS00085,BW25113_RS00085,BW25113_4412,mokC,type I toxin-antitoxin system toxin MokC,
BW25113_RS00090,BW25113_RS00090,BW25113_0019,nhaA,Na+/H+ antiporter NhaA,
BW25113_RS00095,BW25113_RS00095,BW25113_0020,nhaR,transcriptional activator NhaR,
BW25113_RS00100,BW25113_RS00100,BW25113_0021,NULL,IS1-like element IS1A family transposase,
BW25113_RS00110,BW25113_RS00110,BW25113_0023,rpsT,30S ribosomal protein S20,
BW25113_RS00115,BW25113_RS00115,BW25113_0024,NULL,DUF2575 domain-containing protein,
BW25113_RS00120,BW25113_RS00120,BW25113_0025,ribF,bifunctional riboflavin kinase/FAD synthetase,
BW25113_RS00125,BW25113_RS00125,BW25113_0026,ileS,isoleucine--tRNA ligase,
BW25113_RS00130,BW25113_RS00130,BW25113_0027,NULL,lipoprotein signal peptidase,
BW25113_RS00135,BW25113_RS00135,BW25113_0028,fkpB,FKBP-type peptidyl-prolyl cis-trans isomerase,
BW25113_RS00140,BW25113_RS00140,BW25113_0029,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,
BW25113_RS00145,BW25113_RS00145,BW25113_0030,rihC,ribonucleoside hydrolase RihC,
BW25113_RS00150,BW25113_RS00150,BW25113_0031,dapB,4-hydroxy-tetrahydrodipicolinate reductase,
BW25113_RS00165,BW25113_RS00165,BW25113_0032,NULL,carbamoyl-phosphate synthase small subunit,
BW25113_RS00170,BW25113_RS00170,BW25113_0033,carB,carbamoyl-phosphate synthase large subunit,
BW25113_RS00180,BW25113_RS00180,BW25113_0034,caiF,carnitine metabolism transcriptional regulator CaiF,
BW25113_RS00185,BW25113_RS00185,BW25113_0035,caiE,carnitine operon protein CaiE,
BW25113_RS00190,BW25113_RS00190,BW25113_0036,caiD,crotonobetainyl-CoA hydratase,
BW25113_RS00195,BW25113_RS00195,BW25113_0037,caiC,crotonobetaine/carnitine-CoA ligase,
BW25113_RS00200,BW25113_RS00200,BW25113_0038,caiB,L-carnitine CoA-transferase,
BW25113_RS00205,BW25113_RS00205,BW25113_0039,caiA,crotonobetainyl-CoA dehydrogenase,
BW25113_RS00210,BW25113_RS00210,BW25113_0040,NULL,L-carnitine/gamma-butyrobetaine antiporter,
BW25113_RS00215,BW25113_RS00215,BW25113_0041,NULL,electron transfer flavoprotein FixA,
BW25113_RS00220,BW25113_RS00220,BW25113_0042,NULL,electron transfer flavoprotein subunit alpha/FixB family protein,
BW25113_RS00225,BW25113_RS00225,BW25113_0043,NULL,FAD-dependent oxidoreductase,
BW25113_RS00230,BW25113_RS00230,BW25113_0044,fixX,ferredoxin-like protein FixX,
BW25113_RS00235,BW25113_RS00235,BW25113_0045,NULL,MFS transporter,
BW25113_RS00240,BW25113_RS00240,BW25113_0046,kefF,glutathione-regulated potassium-efflux system oxidoreductase KefF,
BW25113_RS00245,BW25113_RS00245,BW25113_0047,kefC,glutathione-regulated potassium-efflux system protein KefC,
BW25113_RS00250,BW25113_RS00250,BW25113_0048,folA,type 3 dihydrofolate reductase,
BW25113_RS00255,BW25113_RS00255,BW25113_0049,apaH,bis(5'-nucleosyl)-tetraphosphatase (symmetrical),
BW25113_RS00260,BW25113_RS00260,BW25113_0050,apaG,Co2+/Mg2+ efflux protein ApaG,
BW25113_RS00265,BW25113_RS00265,BW25113_0051,rsmA,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA,
BW25113_RS00270,BW25113_RS00270,BW25113_0052,NULL,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,
BW25113_RS00275,BW25113_RS00275,BW25113_0053,surA,peptidylprolyl isomerase SurA,
BW25113_RS00280,BW25113_RS00280,BW25113_0054,lptD,LPS assembly protein LptD,
BW25113_RS00285,BW25113_RS00285,BW25113_0055,djlA,co-chaperone DjlA,
BW25113_RS00290,BW25113_RS00290,NULL,NULL,hypothetical protein,
BW25113_RS25400,BW25113_RS25400,NULL,NULL,IS4 family transposase,
BW25113_RS00295,BW25113_RS00295,BW25113_0058,rluA,bifunctional tRNA pseudouridine(32) synthase/23S rRNA pseudouridine(746) synthase RluA,
BW25113_RS00300,BW25113_RS00300,BW25113_0059,rapA,RNA polymerase-associated protein RapA,
BW25113_RS00305,BW25113_RS00305,BW25113_0060,polB,DNA polymerase II,
BW25113_RS00310,BW25113_RS00310,NULL,araD,L-ribulose-5-phosphate 4-epimerase,
BW25113_RS00315,BW25113_RS00315,BW25113_0064,araC,arabinose operon transcriptional regulator AraC,
BW25113_RS00320,BW25113_RS00320,BW25113_0065,NULL,DedA family protein,
BW25113_RS00325,BW25113_RS00325,BW25113_0066,thiQ,thiamine ABC transporter ATP-binding protein ThiQ,
BW25113_RS00330,BW25113_RS00330,BW25113_0067,thiP,thiamine/thiamine pyrophosphate ABC transporter permease ThiP,
BW25113_RS00335,BW25113_RS00335,BW25113_0068,thiB,thiamine ABC transporter substrate binding subunit,
BW25113_RS00340,BW25113_RS00340,BW25113_0069,NULL,HTH-type transcriptional regulator SgrR,
BW25113_RS00345,BW25113_RS00345,BW25113_4662,sgrT,glucose uptake inhibitor SgrT,
BW25113_RS00350,BW25113_RS00350,BW25113_0070,setA,sugar efflux transporter SetA,
BW25113_RS00355,BW25113_RS00355,BW25113_0071,leuD,3-isopropylmalate dehydratase small subunit,
BW25113_RS00360,BW25113_RS00360,BW25113_0072,leuC,3-isopropylmalate dehydratase large subunit,
BW25113_RS00365,BW25113_RS00365,BW25113_0073,leuB,3-isopropylmalate dehydrogenase,
