Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
b0002	b0002	8	8	8		1	8	8	8	12.4	12.4	12.4	89.119	820	820	0	26.815	0.92375	1.3997	12.45	7	0	Leave out requantified	396850	208000	188850				0	411;823;1031;1128;1288;1390;1604;1694	True;True;True;True;True;True;True;True	415;829;1038;1135;1299;1405;1623;1713	830;1588;2002;2003;2176;2513;2704;3125;3308	3806;3807;3808;3809;3810;3811;3812;3813;6899;6900;6901;6902;6903;6904;6905;6906;8625;8626;8627;8628;8629;8630;8631;8632;8633;8634;8635;8636;8637;8638;9346;9347;9348;9349;9350;9351;9352;10608;10609;10610;10611;10612;10613;11337;13044;13045;13046;13772;13773	3807;6905;8629;9348;10611;11337;13045;13773		
b0003	b0003	1	1	1		1	1	1	1	3.5	3.5	3.5	33.623	310	310	0	2.4286	NaN	NaN	NaN	1	0	Median	53079	25423	27656				1	1126	True	1133	2174	9332;9333;9334;9335;9336;9337;9338;9339;9340;9341	9339		
b0004	b0004	4	4	4		1	4	4	4	14.5	14.5	14.5	47.113	428	428	0	4.2279	0.95267	0.95881	10.235	4	0	Leave out requantified	198110	97365	100750				2	38;303;340;1848	True;True;True;True	38;307;344;1869	75;628;688;3652	355;2930;3178;3179;15340	355;2930;3178;15340		
b0008	b0008	10	10	10		1	10	10	10	32.8	32.8	32.8	35.219	317	317	0	18.65	0.65216	1.0002	10.113	14	0	Leave out requantified	1116800	701050	415720				3	189;420;445;936;1036;1041;1104;1195;1200;1233	True;True;True;True;True;True;True;True;True;True	192;424;449;943;1043;1048;1111;1203;1208;1241	382;844;900;901;1813;1814;2011;2012;2024;2025;2136;2330;2336;2337;2406;2407	1835;1836;1837;1838;1839;3854;3855;3856;3857;3858;4099;4100;4101;4102;4103;4104;4105;4106;4107;4108;4109;4110;8005;8006;8007;8008;8669;8670;8671;8672;8673;8674;8675;8676;8677;8732;8733;8734;8735;8736;9163;9941;9942;9943;9963;9964;9965;9966;9967;9968;9969;10262;10263;10264;10265;10266;10267;10268	1837;3856;4109;8005;8674;8733;9163;9942;9963;10263		
b0014	b0014	12	12	12		1	12	12	12	24.5	24.5	24.5	69.114	638	638	0	25.967	1.3743	0.89694	28.359	17	0	Leave out requantified	878590	352180	526410				4	116;205;363;883;979;1059;1114;1281;1309;1380;1511;1702	True;True;True;True;True;True;True;True;True;True;True;True	117;208;367;890;986;1066;1121;1292;1324;1395;1527;1721	240;241;422;423;732;1710;1902;2059;2060;2152;2153;2154;2500;2501;2574;2575;2688;2951;3320	1210;1211;1212;2058;2059;2060;3305;3306;7484;7485;7486;7487;7488;7489;7490;7491;7492;8274;8275;8885;8886;8887;8888;9208;9209;9210;9211;9212;9213;10560;10561;10562;10563;10564;10891;10892;11283;11284;11285;11286;11287;12355;12356;12357;12358;12359;12360;13808;13809;13810;13811;13812;13813;13814;13815;13816;13817;13818;13819	1211;2058;3305;7488;8274;8887;9211;10561;10892;11286;12358;13812		
b0023	b0023	4	4	4		1	4	4	4	40.2	40.2	40.2	9.6662	87	87	0	81.439	0.60795	1.0463	5.1643	6	0	Leave out requantified	922320	581090	341220				5	68;179;1864;1865	True;True;True;True	68;69;182;1885;1886	135;136;364;3701;3702;3703	614;615;616;617;618;619;620;621;622;623;624;625;626;1764;1765;15625;15626;15627;15628;15629	623;1764;15627;15629	0	54
b0026	b0026	9	9	9		1	9	9	9	10.8	10.8	10.8	104.3	938	938	0	17.471	3.1916	2.1968	76.651	4	0	Leave out requantified	270120	79601	190510				6	176;328;600;761;872;1093;1197;1633;1890	True;True;True;True;True;True;True;True;True	179;332;605;767;879;1100;1205;1652;1911	360;361;666;667;1179;1454;1679;1680;2120;2121;2332;3174;3752	1754;1755;1756;1757;1758;1759;1760;1761;3085;3086;3087;3088;5281;5282;5283;6317;6318;7289;7290;7291;9118;9119;9120;9121;9122;9123;9945;13164;13165;13166;13167;15821	1756;3085;5281;6317;7289;9120;9945;13165;15821		
b0073	b0073	1	1	1		1	1	1	1	4.7	4.7	4.7	39.517	363	363	0	2.4683	NaN	NaN	NaN	0	0	Median	22025	0	22025				7	1325	True	1340	2599	10950	10950		
b0095	b0095	3	3	3		1	3	3	3	11.2	11.2	11.2	40.323	383	383	0	12.966	0.8583	0.94411	15.132	2	0	Median	110470	53498	56973				8	319;1047;1842	True;True;True	323;1054;1863	654;2034;3638	3018;8758;15218;15219	3018;8758;15218		
b0098	b0098	4	4	4		1	4	4	4	5.7	5.7	5.7	102.02	901	901	0	5.4452	2.1091	1.4517	6.5553	2	0	Median	99403	34917	64486				9	595;703;756;785	True;True;True;True	600;709;762;791	1171;1357;1358;1445;1518	5246;5247;5933;5934;5935;5936;5937;5938;5939;5940;5941;5942;5943;5944;6289;6290;6291;6292;6293;6294;6295;6296;6613	5247;5940;6290;6613		
